latitude,longitude,view_possible
49.0,8.0,False
49.0,8.006849315068493,False
49.0,8.013698630136986,False
49.0,8.020547945205479,False
49.0,8.027397260273972,False
49.0,8.034246575342467,False
49.0,8.04109589041096,False
49.0,8.047945205479452,False
49.0,8.054794520547945,False
49.0,8.061643835616438,False
49.0,8.068493150684931,False
49.0,8.075342465753424,False
49.0,8.082191780821917,False
49.0,8.08904109589041,False
49.0,8.095890410958905,False
49.0,8.102739726027398,False
49.0,8.10958904109589,False
49.0,8.116438356164384,False
49.0,8.123287671232877,False
49.0,8.13013698630137,False
49.0,8.136986301369863,False
49.0,8.143835616438356,False
49.0,8.150684931506849,False
49.0,8.157534246575343,False
49.0,8.164383561643836,False
49.0,8.17123287671233,False
49.0,8.178082191780822,False
49.0,8.184931506849315,False
49.0,8.191780821917808,False
49.0,8.198630136986301,False
49.0,8.205479452054794,False
49.0,8.212328767123287,False
49.0,8.219178082191782,False
49.0,8.226027397260275,False
49.0,8.232876712328768,False
49.0,8.23972602739726,False
49.0,8.246575342465754,False
49.0,8.253424657534246,False
49.0,8.26027397260274,False
49.0,8.267123287671232,False
49.0,8.273972602739725,False
49.0,8.280821917808218,False
49.0,8.287671232876713,False
49.0,8.294520547945206,False
49.0,8.301369863013699,False
49.0,8.308219178082192,False
49.0,8.315068493150685,False
49.0,8.321917808219178,False
49.0,8.32876712328767,False
49.0,8.335616438356164,False
49.0,8.342465753424657,False
49.0,8.349315068493151,False
49.0,8.356164383561644,False
49.0,8.363013698630137,False
49.0,8.36986301369863,False
49.0,8.376712328767123,False
49.0,8.383561643835616,False
49.0,8.39041095890411,False
49.0,8.397260273972602,False
49.0,8.404109589041095,False
49.0,8.41095890410959,False
49.0,8.417808219178083,False
49.0,8.424657534246576,False
49.0,8.431506849315069,False
49.0,8.438356164383562,False
49.0,8.445205479452055,False
49.0,8.452054794520548,False
49.0,8.45890410958904,False
49.0,8.465753424657533,False
49.0,8.472602739726028,False
49.0,8.479452054794521,False
49.0,8.486301369863014,False
49.0,8.493150684931507,False
49.0,8.5,False
49.0,8.506849315068493,False
49.0,8.513698630136986,False
49.0,8.520547945205479,False
49.0,8.527397260273972,False
49.0,8.534246575342465,False
49.0,8.54109589041096,False
49.0,8.547945205479452,False
49.0,8.554794520547945,False
49.0,8.561643835616438,False
49.0,8.568493150684931,False
49.0,8.575342465753424,False
49.0,8.582191780821917,False
49.0,8.58904109589041,False
49.0,8.595890410958905,False
49.0,8.602739726027398,False
49.0,8.60958904109589,False
49.0,8.616438356164384,False
49.0,8.623287671232877,False
49.0,8.63013698630137,False
49.0,8.636986301369863,False
49.0,8.643835616438356,False
49.0,8.650684931506849,False
49.0,8.657534246575342,False
