Name,latitude,longitude
110. Grand Roc Noir (3582 m),45.33027778,6.89194444
111. Mont Brulé (3578 m),45.95500000,7.53833333
112. Croix Rousse / Croce Rossa (3571 m),45.26055556,7.13472222
113. Olan (3564 m),44.85944444,6.19722222
114. Großes Wiesbachhorn (3564 m),47.15638889,12.75527778
115. Le Plaret (3563 m),44.96861111,6.26000000
116. Cime de Clot Châtel (3563 m),44.89750000,6.28027778
Ouille d'Arbéron/Pta d'Arnas (3563 m),45.27166667,7.12805556
117. Aig. de Péclet (3562 m),45.28138889,6.62444444
118. Tschingelhorn (3562 m),46.47861111,7.84861111
119. Tête de l'Étret (3559 m),44.89000000,6.24527778
120. Presanella (3558 m),46.22000000,10.66388889
121. Monte Emilius (3557 m),45.67888889,7.38472222
122. Aouille Tseuque (3554 m),45.93027778,7.44305556
123. Monte Leone (3553 m),46.24944444,8.11000000
124. Großer Ramolkogel (3550 m),46.84666667,10.95888889
125. Vertainspitze (3545 m),46.53722222,10.63555556
126. Schalfkogel (3540 m),46.80166667,10.95916667
127. Adamello (3539 m),46.15583333,10.49611111
128. Rocciamelone (3538 m),45.20388889,7.07694444
Hochvernagtspitze (3535 m),46.88138889,10.79611111
129. Watzespitze (3533 m),46.98944444,10.79555556
Bec d'Épicoune (3531 m),45.91472222,7.42250000
130. Mont Gelé (3518 m),45.90416667,7.36611111
131. Weißseespitze (3518 m),46.84666667,10.71722222
132. Aig. Méridionale d'Arves (3514 m),45.12722222,6.33694444
133. Fineilspitze (3514 m),46.78027778,10.83194444
134. Punta Tersiva / Pointe Tersive (3513 m),45.62055556,7.47611111
135. Hochfeiler (3509 m),46.97222222,11.72777778
136. Zuckerhütl (3507 m),46.96444444,11.15388889
137. Aig. de Scolette / Pierre Menue (3506 m),45.16000000,6.76861111
138. M. Morion / Rion: Pointe Monro (3505 m),45.88138889,7.36777778
Galmihorn (3505 m),46.50666667,8.18500000
139. Becca di Luseney / Pic de Luseney (3503 m),45.87055556,7.49111111
140. Sustenhorn (3503 m),46.69888889,8.45527778
141. Dreiherrnspitze (3499 m),47.06916667,12.24083333
142. Schrankogel (3497 m),47.04388889,11.09916667
143. Rötspitze (3496 m),47.02694444,12.20527778
144. Grande Traversière (3496 m),45.52305556,7.05583333
145. Grand Nomenon (3488 m),45.61194444,7.23611111
146. Sonnighorn / Pizzo Bottarello (3487 m),46.07416667,8.02222222
147. Testa del Rutor (3486 m),45.63083333,7.01444444
148. Grande Aig. Rousse (3482 m),45.43305556,7.10972222
149. Pic de Bonvoisin (3481 m),44.82361111,6.34694444
150. Großer Möseler (3480 m),46.99250000,11.78194444
151. Hochwilde (3480 m),46.76555556,11.02222222
152. Olperer (3476 m),47.05305556,11.65888889
153. Ruderhofspitze (3474 m),47.03944444,11.14333333
154. Hinterer Seelenkogel (3472 m),46.80166667,11.04444444
155. Grande Rousse S (Pic Bayle) (3465 m),45.13777778,6.13583333
156. Roche de la Muzelle (3465 m),44.93111111,6.10666667
Pic de l'Étendard (3464 m),45.15444444,6.14388889
157. Carè Alto (3463 m),46.10805556,10.59611111
158. Pic Garin (3462 m),45.65583333,7.37750000
159. Vordere Ölgrubenspitze (3456 m),46.90833333,10.77333333
159. Bliggspitze (3453 m),46.91805556,10.78611111
Johannisberg (3453 m),47.10944444,12.67277778
161. Piz Corvatsch (3451 m),46.40833333,9.81611111
162. Rinderhorn (3448 m),46.41361111,7.65416667
163. Wasenhorn (3447 m),46.49805556,8.16583333
164. Pointe de l'Aouillé (3446 m),45.52666667,7.14805556
165. Hintere Eggenspitze / Cima Sternai (3443 m),46.47777778,10.77055556
166. Roc du Mulinet (3442 m),45.38083333,7.16277778
167. Sirac (3441 m),44.78972222,6.30694444
168. Piz Tremoggia (3441 m),46.35194444,9.82194444
169. Dosson di Genova (3441 m),46.14861111,10.55361111
170. Truc Blanc (3440 m),45.58722222,7.16722222
171. Cima de' Piazzi (3439 m),46.41666667,10.28500000
172. Lagaunspitze (3439 m),46.73916667,10.73916667
173. Zufrittspitze (3439 m),46.50194444,10.78222222
174. Hochgall (3436 m),46.91083333,12.13972222
175. Gspaltenhorn (3436 m),46.51166667,7.82750000
176. Stellihorn (3436 m),46.03638889,8.00083333
177. Pte de la Sana (3436 m),45.38500000,6.91805556
178. Verpeilspitze (3425 m),47.00333333,10.80500000
