Name,latitude,longitude
Rauhkofel (3251 m),47.07611111,12.09194444
Großer Hornkopf (3251 m),46.96722222,12.77888889
Wildhorn (3248 m),46.35583333,7.36222222
Péne Blanche (3248 m),45.61888889,7.42694444
Ringelspitz (3247 m),46.89833333,9.34305556
Berrio Blanc (3247 m),45.75305556,6.89777778
Piz Ot (3246 m),46.54333333,9.81027778
Wasenhorn / Pta Terrarossa (3246 m),46.26638889,8.08555556
Pta Painale (3246 m),46.25666667,9.97388889
Platthorn (3246 m),46.16638889,7.86111111
Tofana di Mezzo (3244 m),46.55111111,12.06555556
Hohe Fürleg (3244 m),47.14166667,12.36277778
Piz Bacun (3244 m),46.34222222,9.68222222
Wildstrubel (3243 m),46.40027778,7.52861111
Tête de Soulaure / Pic Félix Neff (3243 m),44.76250000,6.41500000
Hochschober (3242 m),46.94250000,12.69833333
Titlis (3238 m),46.77194444,8.43777778
Grand Golliat (3238 m),45.85916667,7.10166667
Becca du Merlo (3237 m),45.84388889,7.47055556
Hoher Seeblaskogel (3235 m),47.09555556,11.07472222
Pic des Houerts (3235 m),44.58777778,6.76722222
Ofenhorn / Pta d'Arbola (3235 m),46.38666667,8.31861111
Großer Muntanitz (3232 m),47.07361111,12.58916667
Le Péouvou (3232 m),44.63027778,6.88361111
Corno di Dosdè (3232 m),46.40777778,10.16972222
Hoher Riffler (3231 m),47.08111111,11.70444444
Augstenberg / Piz Blaisch Lunga (3230 m),46.86444444,10.20388889
Piz Vadret (3229 m),46.68694444,9.96277778
Grand Galibier (3228 m),45.06388889,6.43416667
Tofana di Rozes (3225 m),46.53694444,12.05111111
Hintere Stangenspitze (3225 m),47.05722222,11.97611111
Monte Gavia (3223 m),46.35416667,10.47250000
Rocca Bernauda / Roche Bernaude (3222 m),45.10138889,6.62750000
Monte Cristallo (3221 m),46.57527778,12.20055556
Monte Civetta (3220 m),46.38000000,12.05333333
Tour Sallière (3220 m),46.12694444,6.92472222
Vorderes Plattenhorn: Ostgipfel (3220 m),46.81000000,10.03305556
Vogelberg (3218 m),46.47833333,9.06527778
Monte del Forno (3214 m),46.33833333,9.72472222
Bec de l'Âne (3213 m),45.61555556,6.98388889
Le Métailler (3213 m),46.10388889,7.36027778
Piz Medel (3211 m),46.61833333,8.91111111
Scherbadung / Pizzo Cervandone (3211 m),46.32416667,8.22305556
Diablerets (3210 m),46.30388889,7.18888889
Gran Vernel (3210 m),46.44250000,11.83222222
Piz Timun / Pizzo d'Emet (3209 m),46.46694444,9.40944444
Piz Cambrialas (3208 m),46.78944444,8.85194444
Pic du Thabor (3207 m),45.11861111,6.56222222
Hocheiser (3206 m),47.15638889,12.67333333
Glödis (3206 m),46.96111111,12.72611111
Pte Haute de Mary (3206 m),44.57555556,6.89472222
Pta Sorapiss (3205 m),46.50694444,12.21166667
Piz Sesvenna (3204 m),46.70583333,10.40277778
Kitzsteinhorn (3203 m),47.18805556,12.68777778
Schwarzhorn (3201 m),46.21666667,7.75666667
Mastaunspitze (3200 m),46.69361111,10.80250000
Piz Vadret (3199 m),46.50888889,9.95083333
Gross Spannort (3198 m),46.78666667,8.52444444
Dreiländerspitze (3197 m),46.85083333,10.14472222
Ptes de Pierre Brune (3196 m),45.37805556,6.85694444
Mont Tondu (3196 m),45.76388889,6.75555556
Bortelhorn / Pta del Rebbio (3193.6 m),46.29472222,8.12527778
Rocca Blancia (3193 m),44.49916667,6.86472222
Cima Vezzana (3192 m),46.28972222,11.83027778
Pizzo Rotondo (3192 m),46.51750000,8.46611111
Hübschhorn I (3192 m),46.23694444,8.05527778
Scopi (3190 m),46.57166667,8.83000000
Löffelspitze (3190 m),47.01750000,12.16444444
Spechhorn / Pizzo d'Antigine (3189 m),46.01222222,8.00111111
Gleirscher Fernerkogel (3189 m),47.11416667,11.06361111
Piz Surlej (3188 m),46.45333333,9.84305556
Gross Windgällen (3187 m),46.80722222,8.73222222
Becca Tey (3186 m),45.58611111,7.09472222
Mont Glacier (3185 m),45.63138889,7.53972222
Langkofel / Saslonch (3181 m),46.52500000,11.73527778
Piz Murtaröl (3180 m),46.57027778,10.28750000
Piz Tasna (3179 m),46.85916667,10.25222222
Piz Pisoc (3173 m),46.74444444,10.27944444
Corn da Tinizong / Tinzenhorn (3173 m),46.61166667,9.67111111
Pte de Paumont / Cima del Vallone (3171 m),45.13944444,6.72833333
Großer Fensterlekofel (3171 m),46.89222222,12.04305556
Pic du Clapier du Peyron (3169 m),44.93722222,6.07694444
Hoher Riffler (3168 m),47.11611111,10.37083333
Monte Pelmo (3168 m),46.41944444,12.13500000
Piz Tavrü (3168 m),46.67916667,10.29611111
Piz Vial (3168 m),46.63194444,8.96916667
Piz Plavna Dadaint (3167 m),46.70861111,10.22361111
Piz Albris (3166 m),46.46416667,9.96333333
Piz Lagrev (3165 m),46.44583333,9.72277778
Piz Quattervals (3165 m),46.62722222,10.09500000
Tête de Sautron /Monte Sautron (3165 m),44.48666667,6.87750000
Rosa dei Banchi (3164 m),45.57722222,7.53250000
Vieux Chaillol (3163 m),44.73611111,6.19055556
Pizzo Stella (3163 m),46.38166667,9.42138889
Pta Clairy (3162 m),45.24416667,6.87305556
Piz Mitgel (3159 m),46.61416667,9.64666667
Hausstock (3158 m),46.87444444,9.06555556
Monte Vallecetta (3156 m),46.41194444,10.40027778
Tête de Vautisse (3156 m),44.70138889,6.48583333
Pic Ouest de Combeynot (3155 m),45.01222222,6.41111111
Piz Prüna (3153 m),46.48722222,9.98722222
Piz Boè (3152 m),46.50888889,11.82805556
Piz Popena (3152 m),46.57638889,12.20750000
Cima Brenta (3151 m),46.17944444,10.89972222
Piz Terri (3149 m),46.60000000,9.03416667
Becs de Bosson (3149 m),46.16777778,7.51805556
Kuchenspitze (3148 m),47.04861111,10.23000000
Zillerplattenspitze (3148 m),47.10416667,12.12972222
Pfroslkopf (3148 m),46.97777778,10.68916667
Croda Rossa / Hohe Gaisl (3146 m),46.63472222,12.14361111
Flüela Schwarzhorn (3146 m),46.73583333,9.94166667
Mont Raffrey (3146 m),45.64777778,7.51083333
