Name;latitude;longitude;view_possible
Grande Ballon;47.901145;7.098388;True
Storkenkopf;47.903294;7.079361;True
Le Hohneck;48.037516;7.01569;True
Klintzkopf;47.949466;7.055969;True
Rothenbachkopf;48.000582;6.981054;True
Lauchenkopf;47.956161;7.039341;True
Gazon du Faing;48.10876;7.07689;True
Rainkopf;48.009827;6.98251;True
Petit Ballon;47.980645;7.125905;True
Haute Bers (Le Gresson);47.84622;6.912358;True
