name,altitude,latitude,longitude,view_possible
Piz Glüschaint ,3594.0,46.3625,9.84,False
Bessanèse ,3592.0,45.30222222,7.11944444,True
Les Rouies ,3589.0,44.86444444,6.25861111,True
Grand Roc Noir ,3582.0,45.33027778,6.89194444,True
Mont Brulé ,3578.0,45.955,7.53833333,True
Croix Rousse / Croce Rossa ,3571.0,45.26055556,7.13472222,True
Olan ,3564.0,44.85944444,6.19722222,True
Großes Wiesbachhorn ,3564.0,47.15638889,12.75527778,False
Le Plaret ,3563.0,44.96861111,6.26,True
Cime de Clot Châtel ,3563.0,44.8975,6.28027778,True
Ouille d'Arbéron/Pta d'Arnas ,3563.0,45.27166667,7.12805556,True
Aig. de Péclet ,3562.0,45.28138889,6.62444444,True
Tschingelhorn ,3562.0,46.47861111,7.84861111,True
Tête de l'Étret ,3559.0,44.89,6.24527778,False
Presanella ,3558.0,46.22,10.66388889,False
Monte Emilius ,3557.0,45.67888889,7.38472222,True
Aouille Tseuque ,3554.0,45.93027778,7.44305556,True
Monte Leone ,3553.0,46.24944444,8.11,False
Großer Ramolkogel ,3550.0,46.84666667,10.95888889,False
Vertainspitze ,3545.0,46.53722222,10.63555556,False
Schalfkogel ,3540.0,46.80166667,10.95916667,False
Adamello ,3539.0,46.15583333,10.49611111,False
Rocciamelone ,3538.0,45.20388889,7.07694444,True
Hochvernagtspitze ,3535.0,46.88138889,10.79611111,False
Watzespitze ,3533.0,46.98944444,10.79555556,False
Bec d'Épicoune ,3531.0,45.91472222,7.4225,True
Mont Gelé ,3518.0,45.90416667,7.36611111,True
Weißseespitze ,3518.0,46.84666667,10.71722222,False
Aig. Méridionale d'Arves ,3514.0,45.12722222,6.33694444,True
Fineilspitze ,3514.0,46.78027778,10.83194444,False
Punta Tersiva / Pointe Tersive ,3513.0,45.62055556,7.47611111,True
Hochfeiler ,3509.0,46.97222222,11.72777778,False
Zuckerhütl ,3507.0,46.96444444,11.15388889,False
Aig. de Scolette / Pierre Menue ,3506.0,45.16,6.76861111,True
